#,Date Time,Abs Pres (kPa) c:1 2,Temp (°C) c:2,,,
1,7/19/2019 12:56,94.034,24.641,7/19/2019,12:56,94.034
2,7/19/2019 13:06,94.014,24.931,7/19/2019,13:06,94.014
3,7/19/2019 13:16,94.003,24.641,7/19/2019,13:16,94.003
4,7/19/2019 13:26,93.986,24.448,7/19/2019,13:26,93.986
5,7/19/2019 13:36,94.003,24.351,7/19/2019,13:36,94.003
6,7/19/2019 13:46,93.996,24.448,7/19/2019,13:46,93.996
7,7/19/2019 13:56,93.972,24.641,7/19/2019,13:56,93.972
8,7/19/2019 14:06,93.976,24.738,7/19/2019,14:06,93.976
9,7/19/2019 14:16,93.955,25.028,7/19/2019,14:16,93.955
10,7/19/2019 14:26,93.959,25.416,7/19/2019,14:26,93.959
11,7/19/2019 14:36,93.969,25.708,7/19/2019,14:36,93.969
12,7/19/2019 14:46,93.98,25.708,7/19/2019,14:46,93.98
13,7/19/2019 14:56,93.997,25.61,7/19/2019,14:56,93.997
14,7/19/2019 15:06,93.997,25.61,7/19/2019,15:06,93.997
15,7/19/2019 15:16,93.956,25.61,7/19/2019,15:16,93.956
16,7/19/2019 15:26,93.959,25.708,7/19/2019,15:26,93.959
17,7/19/2019 15:36,93.942,25.805,7/19/2019,15:36,93.942
18,7/19/2019 15:46,93.945,25.902,7/19/2019,15:46,93.945
19,7/19/2019 15:56,93.956,25.902,7/19/2019,15:56,93.956
20,7/19/2019 16:06,93.966,25.902,7/19/2019,16:06,93.966
21,7/19/2019 16:16,93.921,25.805,7/19/2019,16:16,93.921
22,7/19/2019 16:26,93.935,25.902,7/19/2019,16:26,93.935
23,7/19/2019 16:36,93.928,26,7/19/2019,16:36,93.928
24,7/19/2019 16:46,93.935,25.902,7/19/2019,16:46,93.935
25,7/19/2019 16:56,93.921,25.805,7/19/2019,16:56,93.921
26,7/19/2019 17:06,93.938,25.708,7/19/2019,17:06,93.938
27,7/19/2019 17:16,93.956,25.61,7/19/2019,17:16,93.956
28,7/19/2019 17:26,93.935,25.319,7/19/2019,17:26,93.935
